Chapter;1
社長;しゃちょう;Firmenchef
動物;どうぶつ;Tier
馬;うま;Pferd
特に;とくに;besonders, vor allem
へえ;へえ;Ach, ja? (erstaunt)
それはおもしろいですね;それはおもしろいですね;Das ist ja interessant.
なかなか;なかなか;nicht einfach, kaum, selten (Negation)
ほんとうですか;ほんとうですか;Wirklich?
ぜひ;ぜひ;unbedingt

Chapter;19
登ります;のぼります;klettern, steigen, (hin-)aufsteigen
山に登ります;やまにのぼります;einen Berg hinaufsteigen
[ホテルに]泊まります;[ホテルに]とまります;[in einem Hotel] übernachten
掃除します;そうじします;sauber machen, putzen
洗濯します;せんたくします;Wäsche waschen
なります;なります;werden
眠い;ねむい;müde
強い;つよい;stark
弱い;よわい;schwach
練習[をします];れんしゅう[をします];Übung, [üben]
調子;ちょうし;körperliche Verfassung
ゴルフ[をします];ゴルフ[をします];Golf spielen
相撲[をします];すもう[をします];Sumo[-Kampf führen]
お茶;おちゃ;Teezeremonie
日;ひ;Tag, Datum
一度;いちど;einmal
一度も;いちども;kein einziges Mal (Negation)
だんだん;だんだん;allmählig, langsam
もうすぐ;もうすぐ;bald
おかげさまで;おかげさまで;Danke!(für Hilfe)
でも;でも;aber
乾杯;かんぱい;Zum Wohl! Prost!
ダイエット[をします];ダイエット[をします];Diät [machen]
体にいい;からだにいい;gut für die Gesundheit

Chapter;20
[ビザが]要ります;[ビザが]いります;[ein Visum] benötigen
調べます;しらべます;untersuchen, überprüfen
修理します;しゅうりします;reparieren
僕;ぼく;Ich (inform., männl.)
君;きみ;Du (inform., männl.)
～君;～くん;Herr (inform., männl.)
うん;うん;Ja (inform.)
ううん;ううん;Nein (inform.)
ことば;ことば;Wort, Sprache
着物;きもの;Kimono
ビサ;ビザ;Visum
初め;はじめ;Anfang
終わり;おわり;Ende
こっち;こっち;hierhin, hier (inform.)
そっち;そっち;dahin, da (inform.)
あっち;あっち;dorthin, dort drüben (inform.)
どっち;どっち;welche/-r/-s (von zwei), in welcher Richtung (inform.)
みんなで;みんなで;alle zusammen
～けど;～けど ~;~, aber (inform.)
よかったら;よかったら;wenn du willst
いろいろ;いろいろ;allerlei

Chapter;21
思う;おもいます;denken, glauben, der Meinung sein
言う;いいます;sagen
勝つ;かちます;gewinnen, siegen
負ける;まけます;verlieren(Spiel, Wettkampf)
[お祭が]あります;[おまつりが]あります;stattfinden, [ein Fest] findet statt
役に立ちます;やくにたちます;nützlich sein
動きます;うごきます;sich bewegen, funktionieren
[会社を]やめます;[かいしゃを]やめます;aufhören, [in der Firma] kündigen
気をつけます;きをつけます;auf etw. achten, aufpassen
留学します;りゅうがくします;ins Ausland gehen, um zu studieren
むだ;むだ;unnütz, sinnlos, verschwenderisch
不便;ふべん;unpraktisch
すごい;すごい;toll, großartig, schrecklich, furchtbar
ほんとう;ほんとう;Wahrheit
うそ;うそ;Lüge
自動車;じどうしゃ;Auto
交通;こうつう;Verkehr
物価;ぶっか;Preise
放送;ほうそう;Rundfunk, Ausstrahlung, Ansage
ニュース;ニュース;Nachrichten
デザイン;デザイン;Design
夢;ゆめ;Traum
天才;てんさい;Genie
試合[をします];しあい[をします];Spiel, Wettkampf [bestreiten]
意見;いけん;Meinung
話[をします];はなし[をします];Rede, Geschichte erzählen
地球;ちきゅう;Erde
月;つき;Mond
最近;さいきん;in letzter Zeit
たぶん;たぶん;wahrscheinlich
きっと;きっと;sicherlich
ほんとうに;ほんとうに;wirklich
そんなに;そんなに;nicht so (viel) (Verneinung)
～について;～について;über~, bezüglich~
～でも飲みませんか;～でものみませんか;Trinken wir ein/-e/-n ~ oder so?
もちろん;もちろん;natürlich
カンガルー;カンガルー;Känguru

Chapter;22
[シャツを]着ます;[シャツを]きます;[ein Hemd] tragen
[靴を]はきます;[くつを]はきます;[Schuhe] tragen
[帽子を]かぶります;[ぼうしを]かぶります;[einen Hut] aufsetzen
[眼鏡を]かけます;[めがねを]かけます;[eine Brille] tragen
[ネクタイを]します;[ネクタイを]します;[eine Krawatte] tragen
生まれます;うまれます;geboren werden
わたしたち;わたしたち;wir
コート;コート;Mantel
スーツ;スーツ;Anzug
セーター;セーター;Pullover
帽子;ぼうし;Hut, Mütze
眼鏡;めがね;Brille
ケーキ;ケーキ;Kuchen
[を]弁当;[を]ベんとう;[O]bento, Lunchpaket
ロボット;ロボット;Roboter
ユーモア;ユーモア;Humor
都合;つごう;Umstände
よく;よく;oft
おめでとうございます;おめでとうございます;Herzlichen Glückwunsch!
家賃;やちん;Miete
こちら;こちら;diese/-r/-s (höfl.)

Chapter;23
先生に聞きます;せんせいにききます;[den Lehrer] fragen
回します;まわします];drehen
引きます;ひきます;ziehen
変えます;かえます;ändern
アに触ります;ドアにさわります;[die Tür] berühren
お釣りが出ます;おつりがでます;[Wechselgeld] kommt heraus
歩きます;あるきます;zu Fuß gehen
橋を渡ります;はしをわたります;[die Brücke] überqueren
[右へ]曲がります み;[ぎへ]まがります;[nach rechts] abbiegen
寂しい;さびしい;einsam
[お]湯;[お]ゆ;heißes Wasser
音;おと;Ton, Laut
サイズ;サイズ;Größe
故障します;こしょうします;Defekt, Panne, [versagen, stehen bleiben]
道;みち;Weg
交差点;こうさてん;Kreuzung
信号;しんごう;Ampel
角;かど;Ecke
橋;はし;Brücke
駐車場;ちゅうしゃじょう;Parkplatz
建物;たてもの;Gebäude
ー目;ーめ;der/die/das -te (Reihenfolge)

Chapter;24
くれます;くれます;(mir) geben
直します;なおします;reparieren, korrigieren
連れて行きます;つれていきます;(jmd.) mitnehmen
連れて来ます;つれてきます;(jmd.) mitbringen
人を送ります;ひとをおくります;[die Person] bringen
紹介します;しょうかいします;(jmd.) vorstellen, bekannt machen
案内します;あんないします;führen, den Weg zeigen
説明します;せつめいします;erklären
おじいさん, おじいちゃん;おじいさん, おじいちゃん;Großvater, alter Mann
おばあさん, おばあちゃん;おばあさん, おばあちゃん;Großmutter, alte Frau
準備します;じゅんびします;Vorbereitung [treffen]
引っ越し[をします];ひっこし[をします];Umzug, [umziehen]
お菓子;おかし;Süßigkeiten, Snacks
全部;ぜんぶ;alle/-s (Dinge)
自分で;じぶんで;selbst(ständig), selber
ほかに;ほかに;besides/
ワゴン車;ワゴンしゃ;station wagon/
弁当;べんとう;box lunch/

Chapter;25
考えます;かんがえます;(nach)denken, überlegen
着きます;つきます;ankommen
[年を]取ります;[としを]とります;[alt] werden
田舎;いなか;Land(!= Stadt) Herkunftsort
チャンス;チャンス;Chance, Gelegenheit
億;おく;100 Millionen
もし[～たら];もし[～たら];wenn [~], falls [~]
意味;いみ;Bedeutung
